Flight_number,Fare_code,Amount,Restrictions
59,first_class,1044,refundable
59,first_class,944,non-refundable
8863,coach,375,refundable
8863,coach,325,non-refundable
8863,business,749,refundable
8863,business,674,non-refundable
8863,first_class,902,refundable
8863,first_class,802,non-refundable
1295,coach,442,refundable
1295,coach,392,non-refundable
1295,business,701,refundable
1295,business,626,non-refundable
1295,first_class,974,refundable
1295,first_class,874,non-refundable
7428,coach,392,refundable
7428,coach,342,non-refundable
7428,business,689,refundable
7428,business,614,non-refundable
7428,first_class,1050,refundable
7428,first_class,950,non-refundable
9951,coach,406,refundable
9951,coach,356,non-refundable
9951,business,698,refundable
9951,business,623,non-refundable
9951,first_class,924,refundable
9951,first_class,824,non-refundable
4800,coach,333,refundable
4800,coach,283,non-refundable
4800,business,644,refundable
4800,business,569,non-refundable
4800,first_class,1082,refundable
4800,first_class,982,non-refundable
4891,coach,361,refundable
4891,coach,311,non-refundable
4891,business,581,refundable
4891,business,506,non-refundable
4891,first_class,903,refundable
4891,first_class,803,non-refundable
9255,coach,287,refundable
9255,coach,237,non-refundable
9255,business,739,refundable
9255,business,664,non-refundable
9255,first_class,1054,refundable
9255,first_class,954,non-refundable
5417,coach,255,refundable
5417,coach,205,non-refundable
5417,business,769,refundable
5417,business,694,non-refundable
5417,first_class,1043,refundable
5417,first_class,943,non-refundable
2644,coach,426,refundable
2644,coach,376,non-refundable
2644,business,633,refundable
2644,business,558,non-refundable
2644,first_class,1052,refundable
2644,first_class,952,non-refundable
3515,coach,390,refundable
3515,coach,340,non-refundable
3515,business,676,refundable
3515,business,601,non-refundable
3515,first_class,945,refundable
3515,first_class,845,non-refundable
5823,coach,356,refundable
5823,coach,306,non-refundable
5823,business,728,refundable
5823,business,653,non-refundable
5823,first_class,1018,refundable
5823,first_class,918,non-refundable
4352,coach,366,refundable
4352,coach,316,non-refundable
4352,business,681,refundable
4352,business,606,non-refundable
4352,first_class,985,refundable
4352,first_class,885,non-refundable
2542,coach,304,refundable
2542,coach,254,non-refundable
2542,business,750,refundable
2542,business,675,non-refundable
2542,first_class,1042,refundable
2542,first_class,942,non-refundable
896,coach,279,refundable
896,coach,229,non-refundable
896,business,593,refundable
896,business,518,non-refundable
896,first_class,905,refundable
896,first_class,805,non-refundable
3077,coach,260,refundable
3077,coach,210,non-refundable
3077,business,736,refundable
3077,business,661,non-refundable
3077,first_class,1033,refundable
3077,first_class,933,non-refundable
7830,coach,330,refundable
7830,coach,280,non-refundable
7830,business,587,refundable
7830,business,512,non-refundable
7830,first_class,979,refundable
7830,first_class,879,non-refundable
4623,coach,348,refundable
4623,coach,298,non-refundable
4623,business,726,refundable
4623,business,651,non-refundable
4623,first_class,1003,refundable
4623,first_class,903,non-refundable
1540,coach,268,refundable
1540,coach,218,non-refundable
1540,business,761,refundable
1540,business,686,non-refundable
1540,first_class,984,refundable
1540,first_class,884,non-refundable
8283,coach,304,refundable
8283,coach,254,non-refundable
8283,business,756,refundable
8283,business,681,non-refundable
8283,first_class,963,refundable
8283,first_class,863,non-refundable
7478,coach,414,refundable
7478,coach,364,non-refundable
7478,business,582,refundable
7478,business,507,non-refundable
7478,first_class,983,refundable
7478,first_class,883,non-refundable
8381,coach,442,refundable
8381,coach,392,non-refundable
8381,business,626,refundable
8381,business,551,non-refundable
8381,first_class,975,refundable
8381,first_class,875,non-refundable
4664,coach,322,refundable
4664,coach,272,non-refundable
4664,business,740,refundable
4664,business,665,non-refundable
4664,first_class,1084,refundable
4664,first_class,984,non-refundable
9835,coach,450,refundable
9835,coach,400,non-refundable
9835,business,715,refundable
9835,business,640,non-refundable
9835,first_class,1066,refundable
9835,first_class,966,non-refundable
6737,coach,391,refundable
6737,coach,341,non-refundable
6737,business,646,refundable
6737,business,571,non-refundable
6737,first_class,952,refundable
6737,first_class,852,non-refundable
3256,coach,404,refundable
3256,coach,354,non-refundable
3256,business,755,refundable
3256,business,680,non-refundable
3256,first_class,964,refundable
3256,first_class,864,non-refundable
6982,coach,427,refundable
6982,coach,377,non-refundable
6982,business,581,refundable
6982,business,506,non-refundable
6982,first_class,1093,refundable
6982,first_class,993,non-refundable
1473,coach,422,refundable
1473,coach,372,non-refundable
1473,business,613,refundable
1473,business,538,non-refundable
1473,first_class,1099,refundable
1473,first_class,999,non-refundable
5171,coach,405,refundable
5171,coach,355,non-refundable
5171,business,749,refundable
5171,business,674,non-refundable
5171,first_class,945,refundable
5171,first_class,845,non-refundable
1047,coach,260,refundable
1047,coach,210,non-refundable
1047,business,697,refundable
1047,business,622,non-refundable
1047,first_class,998,refundable
1047,first_class,898,non-refundable
8877,coach,386,refundable
8877,coach,336,non-refundable
8877,business,599,refundable
8877,business,524,non-refundable
8877,first_class,918,refundable
8877,first_class,818,non-refundable
8524,coach,369,refundable
8524,coach,319,non-refundable
8524,business,746,refundable
8524,business,671,non-refundable
8524,first_class,1043,refundable
8524,first_class,943,non-refundable
7858,coach,368,refundable
7858,coach,318,non-refundable
7858,business,683,refundable
7858,business,608,non-refundable
7858,first_class,1013,refundable
7858,first_class,913,non-refundable
9476,coach,280,refundable
9476,coach,230,non-refundable
9476,business,643,refundable
9476,business,568,non-refundable
9476,first_class,1043,refundable
9476,first_class,943,non-refundable
2782,coach,443,refundable
2782,coach,393,non-refundable
2782,business,687,refundable
2782,business,612,non-refundable
2782,first_class,911,refundable
2782,first_class,811,non-refundable
987,coach,329,refundable
987,coach,279,non-refundable
987,business,728,refundable
987,business,653,non-refundable
987,first_class,1048,refundable
987,first_class,948,non-refundable
7454,coach,278,refundable
7454,coach,228,non-refundable
7454,business,604,refundable
7454,business,529,non-refundable
7454,first_class,1048,refundable
7454,first_class,948,non-refundable
1555,coach,386,refundable
1555,coach,336,non-refundable
1555,business,739,refundable
1555,business,664,non-refundable
1555,first_class,1037,refundable
1555,first_class,937,non-refundable
8234,coach,334,refundable
8234,coach,284,non-refundable
8234,business,655,refundable
8234,business,580,non-refundable
8234,first_class,924,refundable
8234,first_class,824,non-refundable
2267,coach,444,refundable
2267,coach,394,non-refundable
2267,business,701,refundable
2267,business,626,non-refundable
2267,first_class,986,refundable
2267,first_class,886,non-refundable
2134,coach,284,refundable
2134,coach,234,non-refundable
2134,business,680,refundable
2134,business,605,non-refundable
2134,first_class,969,refundable
2134,first_class,869,non-refundable
3558,coach,377,refundable
3558,coach,327,non-refundable
3558,business,592,refundable
3558,business,517,non-refundable
3558,first_class,1007,refundable
3558,first_class,907,non-refundable
4567,coach,421,refundable
4567,coach,371,non-refundable
4567,business,748,refundable
4567,business,673,non-refundable
4567,first_class,1020,refundable
4567,first_class,920,non-refundable
6496,coach,280,refundable
6496,coach,230,non-refundable
6496,business,686,refundable
6496,business,611,non-refundable
6496,first_class,925,refundable
6496,first_class,825,non-refundable
4008,coach,418,refundable
4008,coach,368,non-refundable
4008,business,625,refundable
4008,business,550,non-refundable
4008,first_class,1069,refundable
4008,first_class,969,non-refundable
3743,coach,296,refundable
3743,coach,246,non-refundable
3743,business,590,refundable
3743,business,515,non-refundable
3743,first_class,1002,refundable
3743,first_class,902,non-refundable
8095,coach,264,refundable
8095,coach,214,non-refundable
8095,business,733,refundable
8095,business,658,non-refundable
8095,first_class,1057,refundable
8095,first_class,957,non-refundable
1708,coach,424,refundable
1708,coach,374,non-refundable
1708,business,634,refundable
1708,business,559,non-refundable
1708,first_class,934,refundable
1708,first_class,834,non-refundable
7046,coach,408,refundable
7046,coach,358,non-refundable
7046,business,742,refundable
7046,business,667,non-refundable
7046,first_class,1075,refundable
7046,first_class,975,non-refundable
7633,coach,386,refundable
7633,coach,336,non-refundable
7633,business,605,refundable
7633,business,530,non-refundable
7633,first_class,979,refundable
7633,first_class,879,non-refundable
3068,coach,347,refundable
3068,coach,297,non-refundable
3068,business,669,refundable
3068,business,594,non-refundable
3068,first_class,1079,refundable
3068,first_class,979,non-refundable
7431,coach,447,refundable
7431,coach,397,non-refundable
7431,business,733,refundable
7431,business,658,non-refundable
7431,first_class,1098,refundable
7431,first_class,998,non-refundable
5514,coach,256,refundable
5514,coach,206,non-refundable
5514,business,647,refundable
5514,business,572,non-refundable
5514,first_class,1013,refundable
5514,first_class,913,non-refundable
4680,coach,346,refundable
4680,coach,296,non-refundable
4680,business,707,refundable
4680,business,632,non-refundable
4680,first_class,1064,refundable
4680,first_class,964,non-refundable
8949,coach,368,refundable
8949,coach,318,non-refundable
8949,business,711,refundable
8949,business,636,non-refundable
8949,first_class,904,refundable
8949,first_class,804,non-refundable
2981,coach,341,refundable
2981,coach,291,non-refundable
2981,business,748,refundable
2981,business,673,non-refundable
2981,first_class,1039,refundable
2981,first_class,939,non-refundable
82,coach,400,refundable
82,coach,350,non-refundable
82,business,692,refundable
82,business,617,non-refundable
82,first_class,956,refundable
82,first_class,856,non-refundable
5360,coach,360,refundable
5360,coach,310,non-refundable
5360,business,615,refundable
5360,business,540,non-refundable
5360,first_class,1053,refundable
5360,first_class,953,non-refundable
7128,coach,440,refundable
7128,coach,390,non-refundable
7128,business,775,refundable
7128,business,700,non-refundable
7128,first_class,927,refundable
7128,first_class,827,non-refundable
2731,coach,424,refundable
2731,coach,374,non-refundable
2731,business,742,refundable
2731,business,667,non-refundable
2731,first_class,1046,refundable
2731,first_class,946,non-refundable
732,coach,394,refundable
732,coach,344,non-refundable
732,business,650,refundable
732,business,575,non-refundable
732,first_class,936,refundable
732,first_class,836,non-refundable
601,coach,327,refundable
601,coach,277,non-refundable
601,business,704,refundable
601,business,629,non-refundable
601,first_class,905,refundable
601,first_class,805,non-refundable
5536,coach,343,refundable
5536,coach,293,non-refundable
5536,business,707,refundable
5536,business,632,non-refundable
5536,first_class,983,refundable
5536,first_class,883,non-refundable
1024,coach,413,refundable
1024,coach,363,non-refundable
1024,business,742,refundable
1024,business,667,non-refundable
1024,first_class,992,refundable
1024,first_class,892,non-refundable
3243,coach,318,refundable
3243,coach,268,non-refundable
3243,business,735,refundable
3243,business,660,non-refundable
3243,first_class,963,refundable
3243,first_class,863,non-refundable
1819,coach,269,refundable
1819,coach,219,non-refundable
1819,business,673,refundable
1819,business,598,non-refundable
1819,first_class,954,refundable
1819,first_class,854,non-refundable
6038,coach,371,refundable
6038,coach,321,non-refundable
6038,business,600,refundable
6038,business,525,non-refundable
6038,first_class,961,refundable
6038,first_class,861,non-refundable
4037,coach,289,refundable
4037,coach,239,non-refundable
4037,business,751,refundable
4037,business,676,non-refundable
4037,first_class,1053,refundable
4037,first_class,953,non-refundable
8776,coach,281,refundable
8776,coach,231,non-refundable
8776,business,596,refundable
8776,business,521,non-refundable
8776,first_class,1050,refundable
8776,first_class,950,non-refundable
714,coach,337,refundable
714,coach,287,non-refundable
714,business,690,refundable
714,business,615,non-refundable
714,first_class,1054,refundable
714,first_class,954,non-refundable
5395,coach,345,refundable
5395,coach,295,non-refundable
5395,business,768,refundable
5395,business,693,non-refundable
5395,first_class,985,refundable
5395,first_class,885,non-refundable
8399,coach,342,refundable
8399,coach,292,non-refundable
8399,business,650,refundable
8399,business,575,non-refundable
8399,first_class,945,refundable
8399,first_class,845,non-refundable
5898,coach,303,refundable
5898,coach,253,non-refundable
5898,business,748,refundable
5898,business,673,non-refundable
5898,first_class,929,refundable
5898,first_class,829,non-refundable
4474,coach,314,refundable
4474,coach,264,non-refundable
4474,business,622,refundable
4474,business,547,non-refundable
4474,first_class,901,refundable
4474,first_class,801,non-refundable
8896,coach,345,refundable
8896,coach,295,non-refundable
8896,business,675,refundable
8896,business,600,non-refundable
8896,first_class,1010,refundable
8896,first_class,910,non-refundable
6023,coach,375,refundable
6023,coach,325,non-refundable
6023,business,633,refundable
6023,business,558,non-refundable
6023,first_class,957,refundable
6023,first_class,857,non-refundable
6129,coach,284,refundable
6129,coach,234,non-refundable
6129,business,761,refundable
6129,business,686,non-refundable
6129,first_class,995,refundable
6129,first_class,895,non-refundable
1378,coach,306,refundable
1378,coach,256,non-refundable
1378,business,672,refundable
1378,business,597,non-refundable
1378,first_class,936,refundable
1378,first_class,836,non-refundable
3858,coach,315,refundable
3858,coach,265,non-refundable
3858,business,627,refundable
3858,business,552,non-refundable
3858,first_class,1075,refundable
3858,first_class,975,non-refundable
167,coach,354,refundable
167,coach,304,non-refundable
167,business,599,refundable
167,business,524,non-refundable
167,first_class,1042,refundable
167,first_class,942,non-refundable
7387,coach,252,refundable
7387,coach,202,non-refundable
7387,business,679,refundable
7387,business,604,non-refundable
7387,first_class,999,refundable
7387,first_class,899,non-refundable
672,coach,398,refundable
672,coach,348,non-refundable
672,business,703,refundable
672,business,628,non-refundable
672,first_class,986,refundable
672,first_class,886,non-refundable
7477,coach,263,refundable
7477,coach,213,non-refundable
7477,business,612,refundable
7477,business,537,non-refundable
7477,first_class,978,refundable
7477,first_class,878,non-refundable
9369,coach,271,refundable
9369,coach,221,non-refundable
9369,business,628,refundable
9369,business,553,non-refundable
9369,first_class,1074,refundable
9369,first_class,974,non-refundable
3728,coach,434,refundable
3728,coach,384,non-refundable
3728,business,655,refundable
3728,business,580,non-refundable
3728,first_class,909,refundable
3728,first_class,809,non-refundable
1546,coach,341,refundable
1546,coach,291,non-refundable
1546,business,612,refundable
1546,business,537,non-refundable
1546,first_class,1072,refundable
1546,first_class,972,non-refundable
6503,coach,378,refundable
6503,coach,328,non-refundable
6503,business,736,refundable
6503,business,661,non-refundable
6503,first_class,937,refundable
6503,first_class,837,non-refundable
7957,coach,427,refundable
7957,coach,377,non-refundable
7957,business,652,refundable
7957,business,577,non-refundable
7957,first_class,1029,refundable
7957,first_class,929,non-refundable
6651,coach,348,refundable
6651,coach,298,non-refundable
6651,business,733,refundable
6651,business,658,non-refundable
6651,first_class,1009,refundable
6651,first_class,909,non-refundable
4002,coach,362,refundable
4002,coach,312,non-refundable
4002,business,632,refundable
4002,business,557,non-refundable
4002,first_class,934,refundable
4002,first_class,834,non-refundable
3606,coach,347,refundable
3606,coach,297,non-refundable
3606,business,706,refundable
3606,business,631,non-refundable
3606,first_class,1021,refundable
3606,first_class,921,non-refundable
9007,coach,316,refundable
9007,coach,266,non-refundable
9007,business,743,refundable
9007,business,668,non-refundable
9007,first_class,943,refundable
9007,first_class,843,non-refundable
2503,coach,361,refundable
2503,coach,311,non-refundable
2503,business,719,refundable
2503,business,644,non-refundable
2503,first_class,1067,refundable
2503,first_class,967,non-refundable
475,coach,448,refundable
475,coach,398,non-refundable
475,business,725,refundable
475,business,650,non-refundable
475,first_class,1040,refundable
475,first_class,940,non-refundable
392,coach,449,refundable
392,coach,399,non-refundable
392,business,701,refundable
392,business,626,non-refundable
392,first_class,903,refundable
392,first_class,803,non-refundable
4274,coach,326,refundable
4274,coach,276,non-refundable
4274,business,702,refundable
4274,business,627,non-refundable
4274,first_class,946,refundable
4274,first_class,846,non-refundable
5775,coach,263,refundable
5775,coach,213,non-refundable
5775,business,773,refundable
5775,business,698,non-refundable
5775,first_class,1065,refundable
5775,first_class,965,non-refundable
8051,coach,363,refundable
8051,coach,313,non-refundable
8051,business,755,refundable
8051,business,680,non-refundable
8051,first_class,1050,refundable
8051,first_class,950,non-refundable
6973,coach,278,refundable
6973,coach,228,non-refundable
6973,business,585,refundable
6973,business,510,non-refundable
6973,first_class,950,refundable
6973,first_class,850,non-refundable
7541,coach,440,refundable
7541,coach,390,non-refundable
7541,business,742,refundable
7541,business,667,non-refundable
7541,first_class,985,refundable
7541,first_class,885,non-refundable
4554,coach,369,refundable
4554,coach,319,non-refundable
4554,business,750,refundable
4554,business,675,non-refundable
4554,first_class,914,refundable
4554,first_class,814,non-refundable
4142,coach,326,refundable
4142,coach,276,non-refundable
4142,business,629,refundable
4142,business,554,non-refundable
4142,first_class,1028,refundable
4142,first_class,928,non-refundable
6734,coach,269,refundable
6734,coach,219,non-refundable
6734,business,713,refundable
6734,business,638,non-refundable
6734,first_class,1046,refundable
6734,first_class,946,non-refundable
4639,coach,395,refundable
4639,coach,345,non-refundable
4639,business,700,refundable
4639,business,625,non-refundable
4639,first_class,945,refundable
4639,first_class,845,non-refundable
4341,coach,404,refundable
4341,coach,354,non-refundable
4341,business,618,refundable
4341,business,543,non-refundable
4341,first_class,1005,refundable
4341,first_class,905,non-refundable
4708,coach,437,refundable
4708,coach,387,non-refundable
4708,business,578,refundable
4708,business,503,non-refundable
4708,first_class,1089,refundable
4708,first_class,989,non-refundable
4849,coach,258,refundable
4849,coach,208,non-refundable
4849,business,735,refundable
4849,business,660,non-refundable
4849,first_class,1080,refundable
4849,first_class,980,non-refundable
7289,coach,353,refundable
7289,coach,303,non-refundable
7289,business,659,refundable
7289,business,584,non-refundable
7289,first_class,945,refundable
7289,first_class,845,non-refundable
9943,coach,344,refundable
9943,coach,294,non-refundable
9943,business,597,refundable
9943,business,522,non-refundable
9943,first_class,1046,refundable
9943,first_class,946,non-refundable
3488,coach,302,refundable
3488,coach,252,non-refundable
3488,business,695,refundable
3488,business,620,non-refundable
3488,first_class,903,refundable
3488,first_class,803,non-refundable
6183,coach,276,refundable
6183,coach,226,non-refundable
6183,business,737,refundable
6183,business,662,non-refundable
6183,first_class,966,refundable
6183,first_class,866,non-refundable
316,coach,264,refundable
316,coach,214,non-refundable
316,business,586,refundable
316,business,511,non-refundable
316,first_class,1027,refundable
316,first_class,927,non-refundable
8769,coach,361,refundable
8769,coach,311,non-refundable
8769,business,623,refundable
8769,business,548,non-refundable
8769,first_class,933,refundable
8769,first_class,833,non-refundable
2463,coach,345,refundable
2463,coach,295,non-refundable
2463,business,666,refundable
2463,business,591,non-refundable
2463,first_class,1057,refundable
2463,first_class,957,non-refundable
3429,coach,276,refundable
3429,coach,226,non-refundable
3429,business,716,refundable
3429,business,641,non-refundable
3429,first_class,982,refundable
3429,first_class,882,non-refundable
5180,coach,443,refundable
5180,coach,393,non-refundable
5180,business,739,refundable
5180,business,664,non-refundable
5180,first_class,1034,refundable
5180,first_class,934,non-refundable
8630,coach,386,refundable
8630,coach,336,non-refundable
8630,business,587,refundable
8630,business,512,non-refundable
8630,first_class,1013,refundable
8630,first_class,913,non-refundable
4797,coach,351,refundable
4797,coach,301,non-refundable
4797,business,746,refundable
4797,business,671,non-refundable
4797,first_class,1084,refundable
4797,first_class,984,non-refundable
206,coach,302,refundable
206,coach,252,non-refundable
206,business,687,refundable
206,business,612,non-refundable
206,first_class,913,refundable
206,first_class,813,non-refundable
5251,coach,264,refundable
5251,coach,214,non-refundable
